Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies,treatment,women_LFP,post,post_treatment
2,1,26,12,0,0,1,1,1,0,0,0
0,2,26,10,0,0,1,0,1,0,0,0
3,1,26,11,0,0,1,1,1,0,0,0
0,2,25,4,0,0,1,0,1,0,0,0
0,2,25,2,0,0,1,0,1,0,0,0
0,2,25,0,0,0,1,0,1,0,0,0
0,2,49,10,0,0,1,0,1,0,0,0
0,2,49,6,0,0,1,0,1,0,0,0
0,2,49,4,0,0,1,0,1,0,0,0
2,1,48,15,0,0,1,1,1,0,0,0
0,2,40,10,0,0,1,0,1,0,0,0
0,2,25,10,0,0,1,0,1,0,0,0
0,1,49,4,0,0,1,1,1,0,0,0
0,1,49,2,0,0,1,1,1,0,0,0
2,1,49,14,0,0,1,1,1,0,0,0
0,2,49,10,0,0,1,0,1,0,0,0
0,2,49,5,0,0,1,0,1,0,0,0
0,2,25,14,0,0,1,0,1,0,0,0
3,2,25,11,0,0,1,0,1,0,0,0
